sentence,gold_pos,gold_dependencies
The app seems awful.,"[('The', 'RB'), ('app', 'VB'), ('seems', 'JJ'), ('awful.', 'JJ')]","[('awful.', 'app', 'root'), ('app', 'awful.', 'nsubj'), ('seems', 'The', 'obj'), ('app', 'awful.', 'obj')]"
This service seems mediocre.,"[('This', 'RB'), ('service', 'JJ'), ('seems', 'RB'), ('mediocre.', 'RB')]","[('seems', 'mediocre.', 'nsubj'), ('This', 'mediocre.', 'nsubj'), ('mediocre.', 'mediocre.', 'nsubj'), ('This', 'seems', 'obj')]"
The product was mediocre.,"[('The', 'NN'), ('product', 'VB'), ('was', 'PRP'), ('mediocre.', 'DT')]","[('product', 'product', 'nsubj'), ('product', 'mediocre.', 'root'), ('was', 'mediocre.', 'root'), ('mediocre.', 'The', 'root')]"
The product is fantastic.,"[('The', 'JJ'), ('product', 'VB'), ('is', 'DT'), ('fantastic.', 'VB')]","[('product', 'The', 'root'), ('The', 'fantastic.', 'root'), ('The', 'fantastic.', 'nsubj'), ('is', 'The', 'root')]"
The movie seems terrible.,"[('The', 'PRP'), ('movie', 'VB'), ('seems', 'PRP'), ('terrible.', 'PRP')]","[('seems', 'seems', 'root'), ('terrible.', 'seems', 'root'), ('The', 'seems', 'nsubj'), ('The', 'movie', 'root')]"
The product feels awful.,"[('The', 'RB'), ('product', 'VB'), ('feels', 'JJ'), ('awful.', 'RB')]","[('product', 'The', 'obj'), ('The', 'The', 'obj'), ('awful.', 'The', 'nsubj'), ('The', 'feels', 'root')]"
The movie seems terrible.,"[('The', 'NN'), ('movie', 'NN'), ('seems', 'DT'), ('terrible.', 'NN')]","[('seems', 'The', 'obj'), ('movie', 'terrible.', 'nsubj'), ('movie', 'terrible.', 'nsubj'), ('terrible.', 'terrible.', 'obj')]"
The experience seems innovative.,"[('The', 'NN'), ('experience', 'VB'), ('seems', 'RB'), ('innovative.', 'PRP')]","[('innovative.', 'The', 'obj'), ('experience', 'experience', 'obj'), ('innovative.', 'experience', 'obj'), ('innovative.', 'The', 'nsubj')]"
The product is innovative.,"[('The', 'PRP'), ('product', 'NN'), ('is', 'JJ'), ('innovative.', 'VB')]","[('product', 'product', 'obj'), ('product', 'is', 'nsubj'), ('is', 'The', 'obj'), ('innovative.', 'is', 'obj')]"
The experience seems awful.,"[('The', 'RB'), ('experience', 'DT'), ('seems', 'PRP'), ('awful.', 'VB')]","[('seems', 'seems', 'root'), ('experience', 'seems', 'nsubj'), ('awful.', 'The', 'nsubj'), ('experience', 'awful.', 'nsubj')]"
The product looks great.,"[('The', 'PRP'), ('product', 'JJ'), ('looks', 'NN'), ('great.', 'PRP')]","[('The', 'The', 'nsubj'), ('product', 'looks', 'root'), ('product', 'The', 'nsubj'), ('product', 'looks', 'root')]"
The app was amazing.,"[('The', 'JJ'), ('app', 'NN'), ('was', 'DT'), ('amazing.', 'NN')]","[('amazing.', 'The', 'nsubj'), ('The', 'amazing.', 'root'), ('The', 'was', 'nsubj'), ('app', 'amazing.', 'obj')]"
This service seems fantastic.,"[('This', 'DT'), ('service', 'DT'), ('seems', 'DT'), ('fantastic.', 'DT')]","[('service', 'fantastic.', 'root'), ('seems', 'service', 'nsubj'), ('This', 'fantastic.', 'nsubj'), ('This', 'seems', 'obj')]"
The experience looks mediocre.,"[('The', 'JJ'), ('experience', 'RB'), ('looks', 'DT'), ('mediocre.', 'JJ')]","[('looks', 'The', 'nsubj'), ('looks', 'mediocre.', 'nsubj'), ('The', 'mediocre.', 'root'), ('experience', 'The', 'root')]"
This service feels boring.,"[('This', 'PRP'), ('service', 'PRP'), ('feels', 'VB'), ('boring.', 'DT')]","[('This', 'feels', 'root'), ('This', 'boring.', 'obj'), ('feels', 'feels', 'root'), ('service', 'feels', 'root')]"
The product seems great.,"[('The', 'JJ'), ('product', 'NN'), ('seems', 'DT'), ('great.', 'DT')]","[('seems', 'great.', 'obj'), ('great.', 'great.', 'root'), ('product', 'The', 'nsubj'), ('great.', 'seems', 'obj')]"
The product seems amazing.,"[('The', 'JJ'), ('product', 'RB'), ('seems', 'NN'), ('amazing.', 'DT')]","[('product', 'product', 'nsubj'), ('amazing.', 'amazing.', 'nsubj'), ('amazing.', 'amazing.', 'nsubj'), ('amazing.', 'amazing.', 'root')]"
The app seems mediocre.,"[('The', 'VB'), ('app', 'RB'), ('seems', 'DT'), ('mediocre.', 'RB')]","[('seems', 'app', 'nsubj'), ('mediocre.', 'app', 'obj'), ('app', 'seems', 'obj'), ('seems', 'app', 'nsubj')]"
The app was boring.,"[('The', 'NN'), ('app', 'NN'), ('was', 'PRP'), ('boring.', 'NN')]","[('boring.', 'boring.', 'obj'), ('was', 'boring.', 'root'), ('was', 'was', 'root'), ('The', 'The', 'nsubj')]"
The experience is fantastic.,"[('The', 'NN'), ('experience', 'PRP'), ('is', 'VB'), ('fantastic.', 'PRP')]","[('is', 'fantastic.', 'root'), ('experience', 'fantastic.', 'nsubj'), ('is', 'The', 'nsubj'), ('The', 'is', 'root')]"
The product looks mediocre.,"[('The', 'RB'), ('product', 'RB'), ('looks', 'JJ'), ('mediocre.', 'PRP')]","[('The', 'mediocre.', 'obj'), ('looks', 'looks', 'obj'), ('looks', 'mediocre.', 'root'), ('product', 'mediocre.', 'nsubj')]"
The product looks boring.,"[('The', 'RB'), ('product', 'JJ'), ('looks', 'VB'), ('boring.', 'DT')]","[('boring.', 'product', 'root'), ('The', 'product', 'obj'), ('product', 'product', 'root'), ('looks', 'product', 'obj')]"
The movie looks fantastic.,"[('The', 'VB'), ('movie', 'JJ'), ('looks', 'PRP'), ('fantastic.', 'VB')]","[('looks', 'movie', 'nsubj'), ('looks', 'looks', 'obj'), ('The', 'looks', 'root'), ('The', 'The', 'obj')]"
The movie is innovative.,"[('The', 'NN'), ('movie', 'JJ'), ('is', 'NN'), ('innovative.', 'VB')]","[('innovative.', 'innovative.', 'nsubj'), ('movie', 'The', 'nsubj'), ('innovative.', 'innovative.', 'nsubj'), ('movie', 'movie', 'obj')]"
The app feels boring.,"[('The', 'RB'), ('app', 'PRP'), ('feels', 'PRP'), ('boring.', 'RB')]","[('feels', 'feels', 'nsubj'), ('boring.', 'app', 'obj'), ('boring.', 'feels', 'root'), ('boring.', 'boring.', 'root')]"
The movie seems mediocre.,"[('The', 'NN'), ('movie', 'VB'), ('seems', 'DT'), ('mediocre.', 'JJ')]","[('seems', 'seems', 'obj'), ('The', 'seems', 'obj'), ('movie', 'seems', 'obj'), ('movie', 'The', 'root')]"
The movie feels boring.,"[('The', 'NN'), ('movie', 'RB'), ('feels', 'PRP'), ('boring.', 'NN')]","[('boring.', 'boring.', 'nsubj'), ('feels', 'boring.', 'obj'), ('feels', 'feels', 'obj'), ('feels', 'movie', 'root')]"
The experience seems amazing.,"[('The', 'NN'), ('experience', 'JJ'), ('seems', 'VB'), ('amazing.', 'RB')]","[('experience', 'experience', 'nsubj'), ('The', 'experience', 'nsubj'), ('The', 'experience', 'root'), ('The', 'experience', 'obj')]"
The experience feels mediocre.,"[('The', 'NN'), ('experience', 'DT'), ('feels', 'VB'), ('mediocre.', 'RB')]","[('experience', 'The', 'obj'), ('experience', 'mediocre.', 'root'), ('experience', 'feels', 'obj'), ('experience', 'feels', 'root')]"
The movie seems mediocre.,"[('The', 'DT'), ('movie', 'NN'), ('seems', 'NN'), ('mediocre.', 'PRP')]","[('movie', 'seems', 'obj'), ('The', 'seems', 'nsubj'), ('mediocre.', 'The', 'root'), ('movie', 'mediocre.', 'nsubj')]"
The app is innovative.,"[('The', 'PRP'), ('app', 'PRP'), ('is', 'RB'), ('innovative.', 'PRP')]","[('app', 'innovative.', 'nsubj'), ('innovative.', 'app', 'nsubj'), ('The', 'innovative.', 'nsubj'), ('innovative.', 'innovative.', 'nsubj')]"
The movie feels mediocre.,"[('The', 'VB'), ('movie', 'PRP'), ('feels', 'NN'), ('mediocre.', 'NN')]","[('mediocre.', 'movie', 'nsubj'), ('feels', 'mediocre.', 'root'), ('feels', 'feels', 'nsubj'), ('movie', 'movie', 'nsubj')]"
The experience feels fantastic.,"[('The', 'VB'), ('experience', 'RB'), ('feels', 'RB'), ('fantastic.', 'JJ')]","[('The', 'fantastic.', 'root'), ('fantastic.', 'The', 'root'), ('fantastic.', 'The', 'root'), ('experience', 'feels', 'nsubj')]"
This service was fantastic.,"[('This', 'PRP'), ('service', 'PRP'), ('was', 'JJ'), ('fantastic.', 'NN')]","[('fantastic.', 'This', 'obj'), ('fantastic.', 'was', 'root'), ('service', 'fantastic.', 'root'), ('was', 'fantastic.', 'nsubj')]"
The movie seems fantastic.,"[('The', 'RB'), ('movie', 'JJ'), ('seems', 'JJ'), ('fantastic.', 'PRP')]","[('The', 'movie', 'obj'), ('seems', 'fantastic.', 'obj'), ('The', 'fantastic.', 'root'), ('seems', 'The', 'nsubj')]"
The product looks innovative.,"[('The', 'DT'), ('product', 'PRP'), ('looks', 'DT'), ('innovative.', 'DT')]","[('product', 'product', 'obj'), ('The', 'looks', 'root'), ('innovative.', 'product', 'obj'), ('The', 'looks', 'nsubj')]"
The movie was innovative.,"[('The', 'VB'), ('movie', 'VB'), ('was', 'RB'), ('innovative.', 'RB')]","[('The', 'was', 'nsubj'), ('innovative.', 'The', 'nsubj'), ('was', 'innovative.', 'root'), ('was', 'The', 'nsubj')]"
The app is great.,"[('The', 'VB'), ('app', 'RB'), ('is', 'PRP'), ('great.', 'PRP')]","[('great.', 'great.', 'root'), ('great.', 'great.', 'root'), ('is', 'great.', 'obj'), ('great.', 'is', 'obj')]"
This service looks amazing.,"[('This', 'DT'), ('service', 'PRP'), ('looks', 'PRP'), ('amazing.', 'JJ')]","[('service', 'amazing.', 'obj'), ('looks', 'amazing.', 'obj'), ('looks', 'amazing.', 'root'), ('This', 'service', 'root')]"
The experience is great.,"[('The', 'VB'), ('experience', 'VB'), ('is', 'DT'), ('great.', 'PRP')]","[('experience', 'is', 'nsubj'), ('is', 'The', 'obj'), ('is', 'experience', 'root'), ('is', 'The', 'nsubj')]"
This service looks awful.,"[('This', 'JJ'), ('service', 'JJ'), ('looks', 'DT'), ('awful.', 'DT')]","[('service', 'awful.', 'nsubj'), ('awful.', 'awful.', 'nsubj'), ('awful.', 'looks', 'nsubj'), ('looks', 'service', 'root')]"
This service was amazing.,"[('This', 'PRP'), ('service', 'PRP'), ('was', 'RB'), ('amazing.', 'PRP')]","[('This', 'service', 'root'), ('service', 'This', 'root'), ('This', 'was', 'root'), ('This', 'amazing.', 'obj')]"
The experience feels fantastic.,"[('The', 'DT'), ('experience', 'RB'), ('feels', 'JJ'), ('fantastic.', 'VB')]","[('experience', 'The', 'root'), ('The', 'feels', 'nsubj'), ('fantastic.', 'fantastic.', 'nsubj'), ('feels', 'The', 'obj')]"
This design is amazing.,"[('This', 'DT'), ('design', 'RB'), ('is', 'JJ'), ('amazing.', 'DT')]","[('is', 'This', 'obj'), ('This', 'amazing.', 'obj'), ('design', 'amazing.', 'nsubj'), ('design', 'This', 'nsubj')]"
The product is awful.,"[('The', 'VB'), ('product', 'NN'), ('is', 'JJ'), ('awful.', 'NN')]","[('product', 'product', 'root'), ('product', 'product', 'nsubj'), ('The', 'awful.', 'obj'), ('is', 'The', 'root')]"
This service was mediocre.,"[('This', 'NN'), ('service', 'DT'), ('was', 'RB'), ('mediocre.', 'JJ')]","[('mediocre.', 'was', 'root'), ('service', 'was', 'nsubj'), ('mediocre.', 'mediocre.', 'nsubj'), ('was', 'This', 'nsubj')]"
The experience is great.,"[('The', 'PRP'), ('experience', 'JJ'), ('is', 'RB'), ('great.', 'JJ')]","[('is', 'experience', 'root'), ('great.', 'is', 'obj'), ('experience', 'experience', 'root'), ('great.', 'great.', 'nsubj')]"
The app looks great.,"[('The', 'NN'), ('app', 'RB'), ('looks', 'PRP'), ('great.', 'NN')]","[('The', 'The', 'nsubj'), ('looks', 'The', 'obj'), ('great.', 'The', 'root'), ('The', 'looks', 'nsubj')]"
The experience was innovative.,"[('The', 'RB'), ('experience', 'NN'), ('was', 'VB'), ('innovative.', 'DT')]","[('innovative.', 'experience', 'obj'), ('was', 'innovative.', 'obj'), ('innovative.', 'experience', 'nsubj'), ('The', 'experience', 'obj')]"
This design feels awful.,"[('This', 'RB'), ('design', 'VB'), ('feels', 'PRP'), ('awful.', 'VB')]","[('This', 'This', 'root'), ('This', 'This', 'root'), ('This', 'This', 'obj'), ('awful.', 'feels', 'nsubj')]"
The app was fantastic.,"[('The', 'RB'), ('app', 'DT'), ('was', 'RB'), ('fantastic.', 'NN')]","[('app', 'The', 'root'), ('fantastic.', 'app', 'nsubj'), ('The', 'app', 'nsubj'), ('was', 'app', 'nsubj')]"
The experience was fantastic.,"[('The', 'PRP'), ('experience', 'VB'), ('was', 'NN'), ('fantastic.', 'RB')]","[('fantastic.', 'The', 'root'), ('The', 'was', 'nsubj'), ('experience', 'was', 'obj'), ('experience', 'The', 'obj')]"
The app looks mediocre.,"[('The', 'DT'), ('app', 'JJ'), ('looks', 'JJ'), ('mediocre.', 'PRP')]","[('app', 'app', 'nsubj'), ('mediocre.', 'mediocre.', 'nsubj'), ('The', 'app', 'nsubj'), ('The', 'looks', 'nsubj')]"
This design was terrible.,"[('This', 'NN'), ('design', 'PRP'), ('was', 'RB'), ('terrible.', 'DT')]","[('was', 'design', 'nsubj'), ('was', 'was', 'obj'), ('was', 'terrible.', 'obj'), ('This', 'was', 'root')]"
The movie is fantastic.,"[('The', 'VB'), ('movie', 'RB'), ('is', 'DT'), ('fantastic.', 'JJ')]","[('fantastic.', 'is', 'obj'), ('is', 'The', 'obj'), ('is', 'The', 'root'), ('is', 'movie', 'obj')]"
The product looks terrible.,"[('The', 'VB'), ('product', 'DT'), ('looks', 'JJ'), ('terrible.', 'DT')]","[('The', 'looks', 'root'), ('terrible.', 'terrible.', 'obj'), ('product', 'The', 'root'), ('The', 'product', 'obj')]"
The experience feels amazing.,"[('The', 'VB'), ('experience', 'JJ'), ('feels', 'JJ'), ('amazing.', 'VB')]","[('The', 'feels', 'nsubj'), ('amazing.', 'feels', 'obj'), ('The', 'amazing.', 'root'), ('amazing.', 'feels', 'root')]"
The movie looks amazing.,"[('The', 'DT'), ('movie', 'RB'), ('looks', 'NN'), ('amazing.', 'JJ')]","[('The', 'movie', 'obj'), ('movie', 'The', 'obj'), ('The', 'looks', 'obj'), ('amazing.', 'amazing.', 'root')]"
This design is terrible.,"[('This', 'PRP'), ('design', 'PRP'), ('is', 'VB'), ('terrible.', 'RB')]","[('is', 'design', 'nsubj'), ('is', 'terrible.', 'obj'), ('terrible.', 'is', 'root'), ('This', 'This', 'root')]"
The movie seems mediocre.,"[('The', 'NN'), ('movie', 'NN'), ('seems', 'DT'), ('mediocre.', 'VB')]","[('mediocre.', 'mediocre.', 'nsubj'), ('The', 'The', 'root'), ('mediocre.', 'seems', 'root'), ('seems', 'mediocre.', 'obj')]"
This service seems boring.,"[('This', 'VB'), ('service', 'NN'), ('seems', 'VB'), ('boring.', 'PRP')]","[('This', 'boring.', 'root'), ('This', 'service', 'obj'), ('This', 'boring.', 'root'), ('seems', 'boring.', 'nsubj')]"
The movie looks boring.,"[('The', 'VB'), ('movie', 'JJ'), ('looks', 'VB'), ('boring.', 'RB')]","[('boring.', 'The', 'nsubj'), ('movie', 'looks', 'obj'), ('movie', 'movie', 'root'), ('looks', 'movie', 'root')]"
The movie seems terrible.,"[('The', 'DT'), ('movie', 'PRP'), ('seems', 'VB'), ('terrible.', 'VB')]","[('The', 'movie', 'nsubj'), ('The', 'seems', 'obj'), ('terrible.', 'terrible.', 'obj'), ('seems', 'terrible.', 'obj')]"
The movie seems boring.,"[('The', 'DT'), ('movie', 'VB'), ('seems', 'PRP'), ('boring.', 'NN')]","[('movie', 'boring.', 'obj'), ('boring.', 'movie', 'root'), ('seems', 'The', 'obj'), ('boring.', 'The', 'obj')]"
This service looks innovative.,"[('This', 'VB'), ('service', 'VB'), ('looks', 'PRP'), ('innovative.', 'PRP')]","[('service', 'innovative.', 'nsubj'), ('service', 'looks', 'obj'), ('innovative.', 'service', 'obj'), ('service', 'innovative.', 'nsubj')]"
The experience seems amazing.,"[('The', 'VB'), ('experience', 'PRP'), ('seems', 'NN'), ('amazing.', 'RB')]","[('amazing.', 'experience', 'root'), ('The', 'The', 'nsubj'), ('seems', 'amazing.', 'obj'), ('The', 'seems', 'obj')]"
This service was great.,"[('This', 'VB'), ('service', 'JJ'), ('was', 'VB'), ('great.', 'NN')]","[('great.', 'great.', 'root'), ('great.', 'This', 'root'), ('service', 'great.', 'nsubj'), ('service', 'This', 'root')]"
The experience looks fantastic.,"[('The', 'NN'), ('experience', 'VB'), ('looks', 'VB'), ('fantastic.', 'RB')]","[('looks', 'fantastic.', 'obj'), ('The', 'experience', 'root'), ('fantastic.', 'experience', 'obj'), ('experience', 'looks', 'obj')]"
The movie was fantastic.,"[('The', 'PRP'), ('movie', 'VB'), ('was', 'DT'), ('fantastic.', 'DT')]","[('movie', 'movie', 'nsubj'), ('was', 'fantastic.', 'nsubj'), ('was', 'movie', 'nsubj'), ('fantastic.', 'The', 'nsubj')]"
The app looks mediocre.,"[('The', 'DT'), ('app', 'VB'), ('looks', 'DT'), ('mediocre.', 'RB')]","[('The', 'mediocre.', 'nsubj'), ('looks', 'app', 'root'), ('looks', 'The', 'root'), ('app', 'The', 'root')]"
The product was great.,"[('The', 'PRP'), ('product', 'JJ'), ('was', 'RB'), ('great.', 'PRP')]","[('The', 'The', 'nsubj'), ('product', 'great.', 'obj'), ('product', 'The', 'root'), ('great.', 'The', 'obj')]"
The movie feels fantastic.,"[('The', 'RB'), ('movie', 'VB'), ('feels', 'PRP'), ('fantastic.', 'DT')]","[('feels', 'feels', 'nsubj'), ('fantastic.', 'feels', 'nsubj'), ('The', 'The', 'obj'), ('fantastic.', 'movie', 'obj')]"
The app feels awful.,"[('The', 'NN'), ('app', 'DT'), ('feels', 'DT'), ('awful.', 'VB')]","[('app', 'app', 'root'), ('awful.', 'awful.', 'obj'), ('The', 'The', 'obj'), ('app', 'awful.', 'nsubj')]"
The movie is awful.,"[('The', 'RB'), ('movie', 'NN'), ('is', 'RB'), ('awful.', 'PRP')]","[('is', 'movie', 'nsubj'), ('The', 'is', 'obj'), ('is', 'movie', 'root'), ('The', 'awful.', 'root')]"
This design looks boring.,"[('This', 'JJ'), ('design', 'RB'), ('looks', 'VB'), ('boring.', 'NN')]","[('looks', 'This', 'nsubj'), ('design', 'looks', 'nsubj'), ('design', 'boring.', 'nsubj'), ('boring.', 'design', 'nsubj')]"
The experience was boring.,"[('The', 'JJ'), ('experience', 'NN'), ('was', 'DT'), ('boring.', 'VB')]","[('was', 'The', 'nsubj'), ('was', 'boring.', 'obj'), ('experience', 'experience', 'nsubj'), ('was', 'experience', 'obj')]"
The app feels terrible.,"[('The', 'VB'), ('app', 'PRP'), ('feels', 'DT'), ('terrible.', 'RB')]","[('The', 'feels', 'obj'), ('app', 'The', 'nsubj'), ('app', 'The', 'obj'), ('feels', 'The', 'obj')]"
This design is awful.,"[('This', 'NN'), ('design', 'NN'), ('is', 'JJ'), ('awful.', 'VB')]","[('design', 'is', 'nsubj'), ('This', 'This', 'nsubj'), ('design', 'This', 'nsubj'), ('awful.', 'awful.', 'root')]"
The product seems great.,"[('The', 'JJ'), ('product', 'PRP'), ('seems', 'JJ'), ('great.', 'PRP')]","[('product', 'seems', 'obj'), ('great.', 'great.', 'root'), ('The', 'great.', 'nsubj'), ('great.', 'seems', 'nsubj')]"
This design seems amazing.,"[('This', 'JJ'), ('design', 'JJ'), ('seems', 'PRP'), ('amazing.', 'NN')]","[('This', 'seems', 'obj'), ('This', 'seems', 'obj'), ('design', 'This', 'obj'), ('design', 'seems', 'root')]"
The product was great.,"[('The', 'NN'), ('product', 'NN'), ('was', 'PRP'), ('great.', 'DT')]","[('The', 'product', 'nsubj'), ('was', 'The', 'root'), ('The', 'was', 'nsubj'), ('great.', 'The', 'obj')]"
The movie was boring.,"[('The', 'RB'), ('movie', 'RB'), ('was', 'NN'), ('boring.', 'NN')]","[('movie', 'was', 'root'), ('The', 'movie', 'root'), ('movie', 'movie', 'root'), ('The', 'boring.', 'nsubj')]"
This service looks terrible.,"[('This', 'RB'), ('service', 'JJ'), ('looks', 'NN'), ('terrible.', 'JJ')]","[('This', 'terrible.', 'nsubj'), ('service', 'terrible.', 'nsubj'), ('terrible.', 'looks', 'root'), ('looks', 'terrible.', 'root')]"
The app is fantastic.,"[('The', 'RB'), ('app', 'JJ'), ('is', 'VB'), ('fantastic.', 'NN')]","[('The', 'fantastic.', 'root'), ('is', 'fantastic.', 'obj'), ('fantastic.', 'is', 'obj'), ('is', 'fantastic.', 'obj')]"
This design looks awful.,"[('This', 'PRP'), ('design', 'JJ'), ('looks', 'NN'), ('awful.', 'PRP')]","[('awful.', 'This', 'obj'), ('awful.', 'looks', 'root'), ('This', 'design', 'nsubj'), ('looks', 'looks', 'nsubj')]"
This design is amazing.,"[('This', 'JJ'), ('design', 'NN'), ('is', 'RB'), ('amazing.', 'DT')]","[('amazing.', 'design', 'nsubj'), ('is', 'This', 'obj'), ('is', 'amazing.', 'nsubj'), ('is', 'amazing.', 'nsubj')]"
This service was terrible.,"[('This', 'PRP'), ('service', 'JJ'), ('was', 'PRP'), ('terrible.', 'RB')]","[('was', 'This', 'nsubj'), ('This', 'service', 'nsubj'), ('terrible.', 'was', 'root'), ('This', 'terrible.', 'obj')]"
This design is innovative.,"[('This', 'PRP'), ('design', 'PRP'), ('is', 'DT'), ('innovative.', 'JJ')]","[('is', 'This', 'nsubj'), ('design', 'is', 'root'), ('is', 'is', 'nsubj'), ('This', 'design', 'obj')]"
The product seems terrible.,"[('The', 'PRP'), ('product', 'PRP'), ('seems', 'PRP'), ('terrible.', 'VB')]","[('The', 'seems', 'nsubj'), ('seems', 'product', 'root'), ('The', 'seems', 'root'), ('seems', 'product', 'obj')]"
This service seems great.,"[('This', 'RB'), ('service', 'RB'), ('seems', 'DT'), ('great.', 'PRP')]","[('service', 'service', 'root'), ('service', 'service', 'obj'), ('This', 'service', 'obj'), ('great.', 'This', 'root')]"
The product is great.,"[('The', 'NN'), ('product', 'JJ'), ('is', 'NN'), ('great.', 'NN')]","[('great.', 'The', 'root'), ('great.', 'The', 'nsubj'), ('product', 'great.', 'nsubj'), ('product', 'great.', 'root')]"
This service seems amazing.,"[('This', 'PRP'), ('service', 'VB'), ('seems', 'RB'), ('amazing.', 'DT')]","[('seems', 'This', 'root'), ('service', 'seems', 'root'), ('amazing.', 'seems', 'obj'), ('seems', 'amazing.', 'root')]"
The experience was great.,"[('The', 'VB'), ('experience', 'NN'), ('was', 'JJ'), ('great.', 'RB')]","[('was', 'experience', 'obj'), ('great.', 'great.', 'nsubj'), ('was', 'The', 'nsubj'), ('was', 'great.', 'root')]"
The experience was great.,"[('The', 'PRP'), ('experience', 'VB'), ('was', 'JJ'), ('great.', 'VB')]","[('was', 'was', 'obj'), ('was', 'great.', 'root'), ('The', 'great.', 'root'), ('The', 'experience', 'root')]"
This service looks awful.,"[('This', 'NN'), ('service', 'NN'), ('looks', 'RB'), ('awful.', 'RB')]","[('awful.', 'This', 'root'), ('This', 'looks', 'nsubj'), ('This', 'service', 'root'), ('awful.', 'service', 'nsubj')]"
This service feels terrible.,"[('This', 'PRP'), ('service', 'NN'), ('feels', 'JJ'), ('terrible.', 'RB')]","[('service', 'terrible.', 'nsubj'), ('terrible.', 'This', 'root'), ('feels', 'service', 'obj'), ('terrible.', 'service', 'obj')]"
This design was innovative.,"[('This', 'RB'), ('design', 'VB'), ('was', 'PRP'), ('innovative.', 'RB')]","[('innovative.', 'This', 'obj'), ('This', 'was', 'obj'), ('This', 'This', 'root'), ('This', 'was', 'obj')]"
The movie is boring.,"[('The', 'RB'), ('movie', 'DT'), ('is', 'DT'), ('boring.', 'PRP')]","[('The', 'movie', 'obj'), ('The', 'movie', 'obj'), ('The', 'The', 'nsubj'), ('The', 'is', 'nsubj')]"
The app is amazing.,"[('The', 'JJ'), ('app', 'PRP'), ('is', 'NN'), ('amazing.', 'JJ')]","[('amazing.', 'is', 'root'), ('app', 'The', 'root'), ('amazing.', 'amazing.', 'obj'), ('The', 'app', 'obj')]"
The app looks fantastic.,"[('The', 'DT'), ('app', 'VB'), ('looks', 'DT'), ('fantastic.', 'PRP')]","[('fantastic.', 'looks', 'obj'), ('The', 'app', 'nsubj'), ('fantastic.', 'fantastic.', 'root'), ('fantastic.', 'fantastic.', 'nsubj')]"
The product looks amazing.,"[('The', 'RB'), ('product', 'VB'), ('looks', 'JJ'), ('amazing.', 'NN')]","[('product', 'product', 'nsubj'), ('The', 'product', 'nsubj'), ('The', 'The', 'nsubj'), ('looks', 'The', 'obj')]"
The app looks great.,"[('The', 'NN'), ('app', 'JJ'), ('looks', 'NN'), ('great.', 'NN')]","[('app', 'app', 'nsubj'), ('great.', 'great.', 'root'), ('The', 'great.', 'nsubj'), ('app', 'great.', 'root')]"
This design seems terrible.,"[('This', 'RB'), ('design', 'NN'), ('seems', 'JJ'), ('terrible.', 'PRP')]","[('design', 'seems', 'root'), ('seems', 'design', 'nsubj'), ('terrible.', 'design', 'root'), ('terrible.', 'This', 'nsubj')]"
The product feels fantastic.,"[('The', 'DT'), ('product', 'PRP'), ('feels', 'NN'), ('fantastic.', 'VB')]","[('product', 'fantastic.', 'root'), ('product', 'The', 'nsubj'), ('The', 'The', 'root'), ('The', 'feels', 'nsubj')]"
The movie was amazing.,"[('The', 'PRP'), ('movie', 'JJ'), ('was', 'PRP'), ('amazing.', 'JJ')]","[('movie', 'The', 'root'), ('The', 'was', 'obj'), ('movie', 'movie', 'nsubj'), ('amazing.', 'The', 'nsubj')]"
The movie is boring.,"[('The', 'DT'), ('movie', 'NN'), ('is', 'NN'), ('boring.', 'RB')]","[('movie', 'boring.', 'obj'), ('is', 'boring.', 'root'), ('boring.', 'is', 'obj'), ('is', 'movie', 'root')]"
This service was awful.,"[('This', 'VB'), ('service', 'VB'), ('was', 'PRP'), ('awful.', 'RB')]","[('service', 'service', 'root'), ('awful.', 'was', 'nsubj'), ('was', 'awful.', 'root'), ('service', 'This', 'nsubj')]"
This service seems terrible.,"[('This', 'JJ'), ('service', 'NN'), ('seems', 'VB'), ('terrible.', 'RB')]","[('terrible.', 'seems', 'obj'), ('service', 'terrible.', 'obj'), ('seems', 'seems', 'nsubj'), ('service', 'This', 'obj')]"
The product seems fantastic.,"[('The', 'VB'), ('product', 'JJ'), ('seems', 'JJ'), ('fantastic.', 'JJ')]","[('The', 'product', 'obj'), ('The', 'The', 'nsubj'), ('product', 'fantastic.', 'nsubj'), ('product', 'The', 'root')]"
The movie seems great.,"[('The', 'VB'), ('movie', 'JJ'), ('seems', 'VB'), ('great.', 'RB')]","[('movie', 'movie', 'root'), ('movie', 'seems', 'nsubj'), ('The', 'The', 'obj'), ('seems', 'great.', 'obj')]"
This service was awful.,"[('This', 'PRP'), ('service', 'RB'), ('was', 'JJ'), ('awful.', 'PRP')]","[('service', 'was', 'nsubj'), ('was', 'This', 'nsubj'), ('awful.', 'This', 'root'), ('This', 'was', 'nsubj')]"
The app is amazing.,"[('The', 'NN'), ('app', 'JJ'), ('is', 'VB'), ('amazing.', 'NN')]","[('app', 'is', 'nsubj'), ('The', 'app', 'root'), ('The', 'app', 'obj'), ('The', 'is', 'root')]"
The app seems fantastic.,"[('The', 'RB'), ('app', 'NN'), ('seems', 'JJ'), ('fantastic.', 'RB')]","[('The', 'fantastic.', 'nsubj'), ('fantastic.', 'seems', 'root'), ('fantastic.', 'app', 'obj'), ('seems', 'seems', 'nsubj')]"
